municipio,tipo de crimen,año,trimestre,num_trimestre,valor,tipo_dato,modelo,nivel_confianza
Alcalá de Henares,Agresión sexual con penetración,2023,Q1,1,1.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2023,Q2,2,2.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2023,Q3,3,4.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2023,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2024,Q1,1,7.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2024,Q2,2,2.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2024,Q3,3,3.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2024,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2025,Q1,1,5.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2025,Q2,2,1.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2025,Q3,3,4.0,Real,Dato observado,Real
Alcalá de Henares,Agresión sexual con penetración,2025,Q4,4,5.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2023,Q1,1,13.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2023,Q2,2,12.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2023,Q3,3,16.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2023,Q4,4,20.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2024,Q1,1,19.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2024,Q2,2,10.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2024,Q3,3,22.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2024,Q4,4,17.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2025,Q1,1,18.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2025,Q2,2,28.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2025,Q3,3,18.0,Real,Dato observado,Real
Alcalá de Henares,Delitos contra la libertad sexual,2025,Q4,4,25.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q1,1,16.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q2,2,19.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q3,3,31.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q4,4,20.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q1,1,14.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q2,2,12.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q3,3,13.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q4,4,24.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q1,1,17.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q2,2,22.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q3,3,15.0,Real,Dato observado,Real
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q4,4,19.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2023,Q1,1,508.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2023,Q2,2,520.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2023,Q3,3,518.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2023,Q4,4,625.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2024,Q1,1,479.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2024,Q2,2,464.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2024,Q3,3,468.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2024,Q4,4,508.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2025,Q1,1,537.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2025,Q2,2,469.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2025,Q3,3,499.0,Real,Dato observado,Real
Alcalá de Henares,Estafas informáticas,2025,Q4,4,305.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2023,Q1,1,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2023,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2023,Q3,3,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2023,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q1,1,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q1,1,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q1,1,2.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q2,2,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q3,3,3.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q1,1,7.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q3,3,5.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q1,1,3.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q2,2,2.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q3,3,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q4,4,2.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q1,1,693.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q2,2,553.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q3,3,471.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q4,4,630.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q1,1,547.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q2,2,548.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q3,3,505.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q4,4,609.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q1,1,521.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q2,2,570.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q3,3,507.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q4,4,659.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q1,1,71.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q2,2,59.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q3,3,113.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q4,4,94.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q1,1,75.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q2,2,86.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q3,3,62.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q4,4,73.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q1,1,112.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q2,2,109.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q3,3,78.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q4,4,84.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q1,1,989.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q2,2,959.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q3,3,958.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q4,4,1105.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q1,1,1066.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q2,2,1086.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q3,3,1107.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q4,4,1096.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q1,1,1088.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q2,2,1046.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q3,3,1177.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q4,4,1151.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q1,1,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q2,2,10.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q3,3,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q4,4,19.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q1,1,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q2,2,8.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q3,3,19.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q4,4,16.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q1,1,13.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q2,2,27.0,Real,Dato observado,Real
