municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Alcalá de Henares,Agresión sexual con penetración,2026,Q1,1,4.137116902987202,Gradient Boosting,Estándar
Alcalá de Henares,Agresión sexual con penetración,2026,Q2,2,4.574096475108976,Gradient Boosting,Estándar
Alcalá de Henares,Agresión sexual con penetración,2026,Q3,3,5.011932268019969,Gradient Boosting,Estándar
Alcalá de Henares,Delitos contra la libertad sexual,2026,Q1,1,20.31638449147654,Gradient Boosting,Estándar
Alcalá de Henares,Delitos contra la libertad sexual,2026,Q2,2,22.427383169828996,Gradient Boosting,Estándar
Alcalá de Henares,Delitos contra la libertad sexual,2026,Q3,3,20.31638449147654,Gradient Boosting,Estándar
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,17.769420226235567,Gradient Boosting,Estándar
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,17.769420226235567,Gradient Boosting,Estándar
Alcalá de Henares,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,17.769420226235567,Gradient Boosting,Estándar
Alcalá de Henares,Estafas informáticas,2026,Q1,1,436.1199620644725,Gradient Boosting,Estándar
Alcalá de Henares,Estafas informáticas,2026,Q2,2,449.39742266045505,Gradient Boosting,Estándar
Alcalá de Henares,Estafas informáticas,2026,Q3,3,422.7722823969702,Gradient Boosting,Estándar
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2026,Q1,1,2.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2026,Q2,2,2.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2026,Q3,3,2.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Hurtos,2026,Q1,1,556.4170145905716,Gradient Boosting,Estándar
Alcalá de Henares,Hurtos,2026,Q2,2,552.1877426144255,Gradient Boosting,Estándar
Alcalá de Henares,Hurtos,2026,Q3,3,557.3471272843045,Gradient Boosting,Estándar
Alcalá de Henares,Otros ciberdelitos,2026,Q1,1,81.97751953486578,Gradient Boosting,Estándar
Alcalá de Henares,Otros ciberdelitos,2026,Q2,2,75.04909687080738,Gradient Boosting,Estándar
Alcalá de Henares,Otros ciberdelitos,2026,Q3,3,72.54909370203085,Gradient Boosting,Estándar
Alcalá de Henares,Resto de criminalidad convencional,2026,Q1,1,1097.1858947396556,Gradient Boosting,Estándar
Alcalá de Henares,Resto de criminalidad convencional,2026,Q2,2,1103.6183329748792,Gradient Boosting,Estándar
Alcalá de Henares,Resto de criminalidad convencional,2026,Q3,3,1096.5376041051359,Gradient Boosting,Estándar
Alcalá de Henares,Resto de delitos contra la libertad sexual,2026,Q1,1,17.769420226235567,Gradient Boosting,Estándar
Alcalá de Henares,Resto de delitos contra la libertad sexual,2026,Q2,2,22.640232891663487,Gradient Boosting,Estándar
Alcalá de Henares,Resto de delitos contra la libertad sexual,2026,Q3,3,17.769420226235567,Gradient Boosting,Estándar
Alcalá de Henares,Robos con fuerza en domicilios,2026,Q1,1,45.04755567570922,Gradient Boosting,Estándar
Alcalá de Henares,Robos con fuerza en domicilios,2026,Q2,2,42.55594623896192,Gradient Boosting,Estándar
Alcalá de Henares,Robos con fuerza en domicilios,2026,Q3,3,40.107009626154905,Gradient Boosting,Estándar
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q1,1,75.44856307542229,Gradient Boosting,Estándar
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q2,2,70.43320891970805,Gradient Boosting,Estándar
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q3,3,73.04505424360477,Gradient Boosting,Estándar
Alcalá de Henares,Robos con violencia e intimidación,2026,Q1,1,31.148138509559,Gradient Boosting,Estándar
Alcalá de Henares,Robos con violencia e intimidación,2026,Q2,2,33.8007606941093,Gradient Boosting,Estándar
Alcalá de Henares,Robos con violencia e intimidación,2026,Q3,3,33.9139194823928,Gradient Boosting,Estándar
Alcalá de Henares,Secuestro,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Secuestro,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Secuestro,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcalá de Henares,Sustracciones de vehículos,2026,Q1,1,72.89181053393304,Gradient Boosting,Estándar
Alcalá de Henares,Sustracciones de vehículos,2026,Q2,2,70.54505107482824,Gradient Boosting,Estándar
Alcalá de Henares,Sustracciones de vehículos,2026,Q3,3,70.88776790673043,Gradient Boosting,Estándar
Alcalá de Henares,Tráfico de drogas,2026,Q1,1,14.225123201265385,Gradient Boosting,Estándar
Alcalá de Henares,Tráfico de drogas,2026,Q2,2,14.168279324908408,Gradient Boosting,Estándar
Alcalá de Henares,Tráfico de drogas,2026,Q3,3,13.625513692761253,Gradient Boosting,Estándar
Alcobendas,Agresión sexual con penetración,2026,Q1,1,2.768298227476903,Gradient Boosting,Estándar
Alcobendas,Agresión sexual con penetración,2026,Q2,2,3.8118389545160203,Gradient Boosting,Estándar
Alcobendas,Agresión sexual con penetración,2026,Q3,3,3.030986187077562,Gradient Boosting,Estándar
Alcobendas,Delitos contra la libertad sexual,2026,Q1,1,13.246598551742201,Gradient Boosting,Estándar
Alcobendas,Delitos contra la libertad sexual,2026,Q2,2,12.687036841544233,Gradient Boosting,Estándar
Alcobendas,Delitos contra la libertad sexual,2026,Q3,3,13.229802473691388,Gradient Boosting,Estándar
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,10.09305809841471,Gradient Boosting,Estándar
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,11.415270289174531,Gradient Boosting,Estándar
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,11.823546447225118,Gradient Boosting,Estándar
Alcobendas,Estafas informáticas,2026,Q1,1,228.92575729585565,Gradient Boosting,Estándar
Alcobendas,Estafas informáticas,2026,Q2,2,243.7330863808786,Gradient Boosting,Estándar
Alcobendas,Estafas informáticas,2026,Q3,3,217.8845231744663,Gradient Boosting,Estándar
Alcobendas,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2026,Q1,1,1.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2026,Q2,2,1.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2026,Q3,3,1.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Hurtos,2026,Q1,1,328.5769060217842,Gradient Boosting,Estándar
Alcobendas,Hurtos,2026,Q2,2,326.8339062215407,Gradient Boosting,Estándar
Alcobendas,Hurtos,2026,Q3,3,323.0431696789727,Gradient Boosting,Estándar
Alcobendas,Otros ciberdelitos,2026,Q1,1,27.992347842109268,Gradient Boosting,Estándar
Alcobendas,Otros ciberdelitos,2026,Q2,2,20.64320877868204,Gradient Boosting,Estándar
Alcobendas,Otros ciberdelitos,2026,Q3,3,21.505702396662787,Gradient Boosting,Estándar
Alcobendas,Resto de criminalidad convencional,2026,Q1,1,696.9583303503146,Gradient Boosting,Estándar
Alcobendas,Resto de criminalidad convencional,2026,Q2,2,743.2384620901511,Gradient Boosting,Estándar
Alcobendas,Resto de criminalidad convencional,2026,Q3,3,742.9930256578388,Gradient Boosting,Estándar
Alcobendas,Resto de delitos contra la libertad sexual,2026,Q1,1,10.09305809841471,Gradient Boosting,Estándar
Alcobendas,Resto de delitos contra la libertad sexual,2026,Q2,2,10.09305809841471,Gradient Boosting,Estándar
Alcobendas,Resto de delitos contra la libertad sexual,2026,Q3,3,10.09305809841471,Gradient Boosting,Estándar
Alcobendas,Robos con fuerza en domicilios,2026,Q1,1,19.66221436041744,Gradient Boosting,Estándar
Alcobendas,Robos con fuerza en domicilios,2026,Q2,2,16.84773945306936,Gradient Boosting,Estándar
