Código municipio,Municipio,Año,Población,Edad media,Población 0-19,% población 0-19,Población 20+,% población 20+,Población 65+,% población 65+,Extranjeros,% extranjeros,Hogares (ref. 2021),Renta neta media por persona (€),Renta neta media por hogar (€),Paro registrado por 100 habitantes,Afiliados Seguridad Social,Empresas / unidades productivas,Precio compra oficial €/m²,Alquiler oficial mensual (€),Viviendas totales (ref. 2021),Viviendas vacías (ref. 2021),% viviendas vacías,Bares,Discotecas,Unidades ocio-hostelería (proxy oficial),% unidades ocio-hostelería,Hospitales,Centros de salud,Centros sanitarios totales,Comisarías,Parques / estaciones de bomberos,Centros educativos,Centros educativos públicos,Centros educativos privados,Estaciones Metro,Estaciones Cercanías,Estaciones Metro Ligero,Nodos ferroviarios (proxy),Paradas de autobús,Marquesinas,Total líneas,Líneas interurbanas,Zonas verdes oficiales (ha),Superficie urbana sin edificar - proxy verde (ha),% superficie urbana sin edificar,Unidades urbanas de uso comercial,% unidades urbanas de uso comercial,Iluminación / radiancia nocturna,Puntos luz por 1000hab,Superficie parcelas urbanas total (ha),Superficie urbana edificada (ha),Superficie urbana sin edificar (ha),% unidades de suelo vacante,% unidades residenciales,% unidades industriales,% unidades de oficinas,Delitos_totales,Delitos_día,Delitos_noche,Indice_criminal_ponderado,Indice_día_ponderado,Indice_noche_ponderado,Delitos_totales_por_10000_hab,Indice_criminal_ponderado_por_10000_hab,Delitos_día_por_10000_hab,Delitos_noche_por_10000_hab,Afiliados Seguridad Social_por_100_hab,Empresas / unidades productivas_por_1000_hab,Bares_por_1000_hab,Discotecas_por_10000_hab,Hospitales_por_100000_hab,Centros de salud_por_10000_hab,Comisarías_por_100000_hab,Parques / estaciones de bomberos_por_100000_hab,Centros educativos_por_10000_hab,Estaciones Metro_por_100000_hab,Estaciones Cercanías_por_100000_hab,Estaciones Metro Ligero_por_100000_hab,Nodos ferroviarios (proxy)_por_100000_hab,Paradas de autobús_por_10000_hab,Marquesinas_por_10000_hab,Unidades urbanas de uso comercial_por_1000_hab,Zonas_verdes_m2_por_hab,Bares_por_ha_urbana,Discotecas_por_ha_urbana,Comisarías_por_ha_urbana,Parques / estaciones de bomberos_por_ha_urbana,Paradas de autobús_por_ha_urbana,Marquesinas_por_ha_urbana,Unidades urbanas de uso comercial_por_ha_urbana,Es_Madrid,Delitos_totales_por_10000_hab_robust_score,Indice_criminal_ponderado_por_10000_hab_robust_score,Indice_Criminal,Indice_Ocio,Indice_Movilidad,Indice_Urbano,Indice_Servicios,Indice_Socioeconomico,Indice_Criminal_Nivel,Indice_Socioeconomico_Nivel,Indice_Ocio_Nivel,Indice_Movilidad_Nivel,Indice_Urbano_Nivel,Indice_Servicios_Nivel,Percentil_criminal_anual,Ranking_criminal_anual
53,Alcalá de Henares,2023,198348,43.65,37916,0.1911589731179543,160432,0.8088410268820457,38570,0.1944562082803961,33106,0.1669086655776716,72991,25152,72912,5.49,81965,15940,1953.1,700,79588,4551,0.0571819872342564,520,18,218,0.0017,2,10,12,1,1,112,70,42,0,3,0,3,333,164,34,20,357.0,710,0.3052450558899398,4803,0.0373,19927,100.46,2326,1616,710,0.0087,0.6227,0.0176,0.0153,9982.0,6907.0,3075.0,28106.0,17548.0,10558.0,503.2569020106076,1417.004456813278,348.2263496480933,155.0305523625144,41.32383487607639,80.36380502954403,2.621654869219755,0.9074959162683768,1.008328795853752,0.504164397926876,0.504164397926876,0.504164397926876,5.646641256781011,0.0,1.512493193780628,0.0,1.512493193780628,16.78867445096497,8.268296126000767,24.21501603242785,17.99866900598947,0.3217821782178218,0.0111386138613861,0.0006188118811881,0.0006188118811881,0.2060643564356436,0.1014851485148515,2.972153465346535,0,0.2090476856310513,0.0657441880170878,56.39,69.67,48.11,53.0,52.79,35.32,Medio,Bajo,Alto,Medio,Medio,Medio,50.0,18
53,Alcalá de Henares,2024,199804,43.87,37603,0.1881994354467378,162201,0.8118005645532622,39635,0.1983694020139737,34448,0.1724089607815659,72991,25152,72912,5.21,84527,16123,2098.9,770,79588,4551,0.0571819872342564,525,19,224,0.0017,2,10,12,1,1,112,70,42,0,3,0,3,333,164,34,20,359.6,708,0.3043852106620809,4773,0.0368,20053,100.36,2326,1618,708,0.0092,0.624,0.0174,0.015,10032.0,6780.0,3252.0,29172.0,17693.0,11479.0,502.092050209205,1460.03083021361,339.3325458949771,162.7595043142279,42.30495885968249,80.69408019859463,2.627575023523053,0.9509319132750096,1.000980961342115,0.5004904806710576,0.5004904806710577,0.5004904806710577,5.605493383515845,0.0,1.501471442013173,0.0,1.501471442013173,16.66633300634622,8.208043883005345,23.88841064242958,17.99763768493123,0.3244746600741656,0.0117428924598269,0.0006180469715698,0.0006180469715698,0.2058096415327565,0.1013597033374536,2.949938195302843,0,0.1975338985542645,0.1970148407809447,61.68,72.37,47.21,52.03,51.53,35.5,Alto,Bajo,Alto,Medio,Medio,Medio,61.11,15
53,Alcalá de Henares,2025,202549,44.09,37439,0.1848392240889859,165110,0.8151607759110141,40841,0.2016351598872372,36174,0.1785938217418995,72991,25152,72912,4.95,86221,16295,2513.4,860,79588,4551,0.0571819872342564,525,19,223,0.0017,2,10,12,1,1,112,70,42,0,3,0,3,333,164,34,20,364.6,695,0.2989247311827957,4740,0.0362,20289,100.17,2325,1630,695,0.0086,0.6222,0.0172,0.0148,10166.0,6855.0,3309.0,29403.0,17843.0,11544.0,501.9032431658512,1451.648736848861,338.4366252116772,163.3678764150897,42.5679712069672,80.44966896899022,2.591965400964705,0.9380446213015124,0.987415390843697,0.4937076954218486,0.4937076954218485,0.4937076954218485,5.529526188724704,0.0,1.481123086265546,0.0,1.481123086265546,16.44046625754756,8.096806204918316,23.40174476299562,18.0005825750806,0.3220858895705521,0.0116564417177914,0.0006134969325153,0.0006134969325153,0.2042944785276073,0.1006134969325153,2.907975460122699,0,0.1956676662205414,0.1714416218326424,61.68,70.27,46.13,49.62,48.65,34.41,Alto,Bajo,Alto,Medio,Medio,Medio,62.16,15
66,Alcobendas,2023,119471,41.86,25781,0.2157929539386127,93690,0.7842070460613872,20682,0.173113140427384,19153,0.16031505553649,40084,33629,104774,3.47,55382,15477,3474.7,1062,42744,1434,0.033548568220101,260,10,38,0.0005,0,6,6,1,1,87,30,57,4,2,0,6,240,171,46,34,180.0,467,0.2490666666666667,2609,0.0309,16500,138.11,1875,1408,467,0.021,0.4948,0.0122,0.0319,5404.0,3609.0,1793.0,15988.0,9476.0,6500.0,452.3273430372225,1338.232709193026,302.0816767248956,150.0782616701961,46.35601945241942,129.5460823128626,2.176260347699442,0.8370232106536315,0.0,0.5022139263921789,0.8370232106536314,0.8370232106536314,7.282101932686593,3.348092842614526,1.674046421307263,0.0,5.022139263921789,20.08855705568715,14.3130969021771,21.83793556595325,15.06641779176537,0.1846590909090909,0.0071022727272727,0.0007102272727272,0.0007102272727272,0.1704545454545454,0.1214488636363636,1.852982954545455,0,-0.2943572086465964,-0.174583264944135,35.2,36.04,80.36,50.68,61.26,40.27,Bajo,Medio,Bajo,Muy alto,Medio,Alto,32.35,24
66,Alcobendas,2024,121446,42.15,25756,0.2120777958928248,95690,0.7879222041071752,21340,0.1757159560627769,20340,0.1674818437824218,40084,33629,104774,3.35,57192,15729,3606.3,1149,42744,1434,0.033548568220101,265,10,39,0.0005,0,6,6,1,1,87,30,57,4,2,0,6,240,171,46,34,180.0,462,0.2464,2584,0.0306,16500,135.86,1875,1413,462,0.0212,0.4949,0.0129,0.0317,5651.0,3818.0,1833.0,16341.0,9884.0,6457.0,465.3096849628641,1345.53628773282,314.378406863956,150.9312780989082,47.09253495380663,129.5143520577047,2.182039754294089,0.8234112280355055,0.0,0.4940467368213033,0.8234112280355055,0.8234112280355055,7.163677683908897,3.293644912142022,1.646822456071011,0.0,4.940467368213032,19.76186947285213,14.08033199940714,21.27694613243746,14.8214021046391,0.1875442321302194,0.0070771408351026,0.0007077140835102,0.0007077140835102,0.1698513800424628,0.1210191082802548,1.828733191790517,0,-0.1660353736201203,-0.1523005242281024,39.88,36.03,78.92,49.25,59.28,40.18,Bajo,Medio,Bajo,Alto,Medio,Medio,44.44,21
66,Alcobendas,2025,123222,42.43,25660,0.2082420347015955,97562,0.7917579652984045,21998,0.1785233156416874,21320,0.1730210514356203,40084,33629,104774,3.27,57899,15783,4325.0,1218,42744,1434,0.033548568220101,265,10,40,0.0005,0,6,6,1,1,87,30,57,4,2,0,6,240,171,46,34,180.0,453,0.2417289220917823,2573,0.0302,17000,137.96,1874,1421,453,0.021,0.4966,0.0128,0.0315,5696.0,3813.0,1883.0,16561.0,9974.0,6587.0,462.2551167810943,1343.997013520313,309.4414958367824,152.8136209443119,46.98755092434793,128.085893752739,2.150589992046875,0.8115433932252357,0.0,0.4869260359351414,0.8115433932252358,0.8115433932252358,7.060427521059552,3.246173572900943,1.623086786450472,0.0,4.869260359351415,19.47704143740566,13.87739202415153,20.88101150768532,14.60778107805424,0.1864883884588318,0.0070372976776917,0.0007037297677691,0.0007037297677691,0.1688951442646024,0.1203377902885292,1.810696692470092,0,-0.1962277531263181,-0.1569967492335953,39.56,33.63,77.66,48.42,57.3,39.1,Bajo,Bajo,Bajo,Alto,Medio,Medio,48.65,20
72,Alcorcón,2023,172845,45.12,32588,0.1885388643003847,140257,0.8114611356996153,39029,0.2258034655327027,20188,0.116798287483005,65867,17768,49486,4.68,75818,14423,2467.4,725,70601,2263,0.0320533703488619,335,14,56,0.0005,2,8,10,1,1,102,58,44,6,3,2,11,226,150,35,27,311.1,585,0.4245283018867925,4102,0.0337,17707,102.44,1378,794,585,0.0069999999999999,0.5834,0.0209,0.0097,7727.0,5366.0,2361.0,21272.0,13380.0,7892.0,447.0479331192687,1230.698024241372,310.4515606468223,136.5963724724464,43.86473429951691,83.44470479331193,1.938152680146952,0.8099742543897712,1.157106077699673,0.4628424310798693,0.5785530388498366,0.5785530388498366,5.901240996268333,3.471318233099019,1.73565911654951,1.157106077699673,6.364083427348202,13.07529867800631,8.678295582747548,23.7322456536203,17.99878503861841,0.4219143576826196,0.017632241813602,0.0012594458438287,0.0012594458438287,0.2846347607052896,0.1889168765743073,5.166246851385391,0,-0.3465406723397478,-0.5026645595728482,25.23,21.32,59.82,44.0,56.94,52.25,Bajo,Medio,Bajo,Medio,Medio,Medio,17.65,29
72,Alcorcón,2024,174740,45.37,32215,0.1843596200068673,142525,0.8156403799931327,39527,0.2262046469039716,21519,0.1231486780359391,65867,17768,49486,4.45,77896,14466,2593.0,818,70601,2263,0.0320533703488619,340,14,58,0.0005,2,8,10,1,1,102,58,44,6,3,2,11,226,150,35,27,314.5,559,0.4119380987472365,4101,0.0336,17873,102.28,1357,798,559,0.0081,0.5821999999999999,0.0209,0.0096,7150.0,4814.0,2336.0,20145.0,12320.0,7822.0,409.1793521803823,1152.855671283049,275.4950211743162,133.6843310060661,44.57823051390638,82.78585326771203,1.945747968410209,0.8011903399336157,1.144557628476594,0.4578230513906375,0.5722788142382969,0.5722788142382969,5.837243905230629,3.433672885429782,1.716836442714891,1.144557628476594,6.295066956621265,12.93350120178551,8.584182213574454,23.46915417191256,17.99816870779444,0.4260651629072681,0.0175438596491228,0.0012531328320802,0.0012531328320802,0.2832080200501253,0.1879699248120301,5.139097744360902,0,-0.7208464658367378,-0.7401564901717413,18.07,22.22,59.1,42.04,55.13,51.98,Muy bajo,Medio,Bajo,Medio,Medio,Medio,19.44,30
72,Alcorcón,2025,176806,45.61,31848,0.1801296336097191,144958,0.8198703663902809,40010,0.2262932253430313,23293,0.1317432666312229,65867,17768,49486,4.21,79380,14513,3077.1,911,70601,2263,0.0320533703488619,340,14,58,0.0005,2,8,10,1,1,102,58,44,6,3,2,11,226,150,35,27,318.3,556,0.4097273397199705,4098,0.0336,18055,102.12,1357,801,556,0.008,0.5821000000000001,0.0209,0.0096,7385.0,4974.0,2411.0,20905.0,12716.0,8189.0,417.6894449283396,1182.369376604866,281.3252943904619,136.3641505378777,44.89666640272389,82.08431840548398,1.923011662500141,0.7918283316177054,1.131183330882436,0.4524733323529744,0.5655916654412181,0.5655916654412181,5.769034987500424,3.393549992647308,1.696774996323654,1.131183330882436,6.221508319853399,12.78237163897153,8.483874981618271,23.17794644978112,18.00278271099397,0.4244694132334582,0.0174781523096129,0.0012484394506866,0.0012484394506866,0.282147315855181,0.1872659176029963,5.116104868913857,0,-0.636729846206924,-0.6501121044405191,21.5,18.92,58.38,41.07,53.69,51.62,Bajo,Medio,Muy bajo,Medio,Medio,Medio,24.32,29
91,Algete,2023,20936,40.79,4851,0.2317061520825373,16085,0.7682938479174627,3012,0.1438670233091326,2525,0.1206056553305311,6723,17473,54294,3.86,9592,2565,1826.0,830,7638,277,0.0362660382299031,45,2,15,0.0014,0,1,1,1,0,15,13,2,0,0,0,0,41,26,13,12,37.7,193,0.2741477272727273,361,0.0339,2892,138.14,704,510,193,0.0509,0.6779999999999999,0.0621,0.022,993.0,664.0,329.0,3061.0,1757.0,1304.0,474.3026366068017,1462.074894917845,317.1570500573175,157.1455865494841,45.81581964081009,122.5162399694306,2.149407718761941,0.9552923194497516,0.0,0.4776461597248758,4.776461597248758,0.0,7.164692395873137,0.0,0.0,0.0,0.0,19.58349254871991,12.41880015284677,17.24302636606802,18.00726022162782,0.088235294117647,0.0039215686274509,0.0019607843137254,0.0,0.0803921568627451,0.0509803921568627,0.707843137254902,0,-0.0771460142222477,0.2032511485803488,53.27,59.16,37.84,68.99,61.71,60.54,Medio,Alto,Medio,Bajo,Alto,Alto,58.82,15
